sigla;nome;cred_aula;cred_trabalho;ch_total
ACH1037;Certificação Ambiental;2;1;60
ACH3011;Ciclo de Vida;4;1;90
ACH5544;Ciência da Terra;4;2;120
ACH3542;Ciência, Valores e Políticas Públicas;4;0;60
ACH4537;Ciências Comportamentais Aplicadas a Marketing;2;0;30
ACH0011;Ciências da Natureza;2;0;30
ACH0131;Ciências da Natureza - Ciência, Cultura e Sociedade;2;0;30
ACH0111;Ciências da Natureza - Ciências da Vida;2;0;30
ACH0121;Ciências da Natureza - Ciências do Universo;2;0;30
ACH0101;Ciências da Natureza  Ciências da Terra;2;0;30
ACH4125;Ciências Naturais na Educação Infantil;4;4;180
ACH0635;Cinesiologia I;4;0;60
ACH0616;Cinesiologia II;4;1;90
ACH2525;Colorimetria;2;0;30
ACH4543;Comportamento do Consumidor;4;0;60
ACH4586;Comportamento Organizacional;4;0;60
ACH1147;Comportamento, Liderança e Negociação em Gestão Ambiental;2;0;30
ACH2157;Computação Física e Aplicações;4;2;120
ACH2117;Computação Gráfica;4;0;60
ACH2003;Computação Orientada a Objetos;4;0;60
ACH2003;Computação Orientada a Objetos;4;0;60
ACH2167;Computação Sônica;4;0;60
ACH2707;Comunicação e Informação de Moda;2;0;30
ACH3605;Comunicação e Marketing no Setor Público;2;0;30
ACH3065;Comunicação Humana e Sociedade;2;0;30
ACH4647;Comunicação Organizacional;2;0;30
ACH4074;Conceitos de Óptica Experimental;4;0;60
ACH1006;Conservação Biológica;2;1;60
ACH2087;Construção de Compiladores;4;2;120
ACH1538;Consultoria e Empreendedorismo em Lazer e Turismo;4;0;60
ACH2015;Contabilidade para Computação;4;0;60
ACH3563;Controladoria Estratégica no Setor Público;2;0;30
ACH0543;Controle Motor;4;0;60
ACH2797;Corpo, Arte, Moda;4;0;60
ACH0533;Crescimento e Desenvolvimento Humano;4;0;60
ACH0593;Crescimento e Desenvolvimento Motor;4;0;60
ACH3108;Cuidados Paliativos, Finitude e Morte;2;1;60
ACH3566;Cultura e Política na Sociedade Contemporânea;2;0;30
ACH4042;Culturas Escolares;2;0;30
ACH4136;Currículos Científicos no Ensino Básico e na Formação de Professores;2;0;30
ACH2107;Desafios de Programação I;4;0;60
ACH2108;Desafios de Programação II;4;0;60
ACH2541;Desenho de Têxtil e Moda I;4;1;90
ACH2552;Desenho de Têxtil e Moda II;4;2;120
ACH2655;Desenho e Ilustração de Têxtil e Moda;2;0;30
ACH2147;Desenvolvimento de Sistemas de Informação Distribuídos;4;0;60
ACH2147;Desenvolvimento de Sistemas de Informação Distribuídos;4;0;60
ACH3646;Desenvolvimento Econômico Local;4;0;60
ACH0534;Desenvolvimento Motor;4;0;60
ACH1187;Desenvolvimento Rural Sustentável;2;0;30
ACH3555;Desenvolvimento, Sustentabilidade, Tecnologia e Políticas Pública;2;0;30
ACH2576;Design de Acessórios de Têxtil e Moda;4;2;120
ACH2585;Design de Superfície em Têxtil e Moda;4;2;120
ACH4096;Didática;2;1;60
ACH1012;Dinâmica e História da Terra;4;1;90
ACH3534;Direito Administrativo;2;0;30
ACH1106;Direito Ambiental;4;1;90
ACH1524;Direito Aplicado ao Lazer e Turismo;4;0;60
ACH3533;Direito Constitucional;4;0;60
ACH3808;Direito e Instituições - Análise Teórica e Estudo de Campo;4;0;60
ACH3628;Direito e Organização Administrativa;2;0;30
ACH3857;Direito e Políticas Públicas;4;0;60
ACH3596;Direito Financeiro;2;0;30
ACH3647;Direitos e Garantias Fundamentais;2;0;30
ACH3105;Direitos Humanos e Envelhecimento;2;0;30
ACH4095;Diversidade Vegetal e Fungos;4;0;60
ACH4085;Diversidade Zoológica;4;0;60
ACH4084;Divulgação Científica - Teoria e Prática;4;1;90
ACH3758;Do Crescimento Econômico ao Desenvolvimento Sustentável e à Economia Verde: A Problemática Teórica e Implicações para as Políticas Públicas;2;0;30
ACH0613;Dor e Exercício;2;0;30
ACH2638;Eco Design Têxtil;2;0;30
ACH1033;Ecologia;3;1;75
ACH4008;Ecologia;2;0;30
